Marca temporal,¿Cuál de los siguientes datos se puede considerar como cuantitativo discreto?,¿Cuál de los siguientes datos se puede considerar como cuantitativo continuo?,¿Cuál de los siguientes datos se puede considerar como cualitativo?,"Unos investigadores creen que los centros educativos privados tienen mejores notas de matemáticas que los centros públicos. Para probar su hipótesis, disponen de la nota media por asignatura (matemáticas, castellano y catalán) de cada estudiante de los centros participantes. ¿Cuál debería ser la variable de interés en este estudio?","¿Cuál es la mediana de los siguientes valores?

4, 7, 11, 11, 12, 18, 20, 25, 27","Queremos comparar el alcance del alcoholismo en Barcelona y en Palma. Para ello, hemos entrevistado a residentes de ambas ciudades y hemos registrado sus respuestas. Para procesar estos datos, ¿Qué es más adecuado?","Un grupo de investigación quiere ver cuál tipo de ordenador es el más frecuente en los institutos. Después de recopilar los datos, han decidido representarlos para poder comunicar sus hallazgos. ¿Cuál de los siguientes gráficos es el más adecuado?"
21/10/2024 9:19:09,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:19:16,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el número de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:19:20,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,15,Ninguna de las respuestas es correcta,Un diagrama de barras
21/10/2024 9:19:27,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,15,Ninguna de las respuestas es correcta,Un diagrama de barras
21/10/2024 9:19:37,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:20:20,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:21:10,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de cada centro participante en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:21:29,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
21/10/2024 9:21:30,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,15,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:15:33,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuántos hermanos tienes?""",La nota media de los centros públicos y privados participantes en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:21,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
22/10/2024 9:16:39,"""¿Tienes hermanos?""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,11,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:40,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""",La nota media de matemáticas de cada centro participante en el estudio,11,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:42,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,15,Comparar el número de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:43,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:52,"""¿Cuántos hermanos tienes?""","""¿Cuántos hermanos tienes?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el número de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:16:55,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,18,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:17:08,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""",La nota media de matemáticas de cada centro participante en el estudio,18,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:17:16,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:17:26,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:17:26,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Una nube de puntos
22/10/2024 9:17:57,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un gráfico circular
22/10/2024 9:18:11,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:19:07,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:20:06,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:21:10,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
22/10/2024 9:21:21,"""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:43:52,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:44:33,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:44:45,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:44:46,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:44:52,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Una nube de puntos
24/10/2024 12:44:54,"""¿Tienes hermanos?""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,11,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:45:10,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,12,Comparar el número de alcohólicos en Palma y en Barcelona,Un gráfico de línea
24/10/2024 12:45:17,"""¿Tienes hermanos?""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:45:17,"""¿Tienes hermanos?""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,11,Ninguna de las respuestas es correcta,Un gráfico circular
24/10/2024 12:45:27,"""¿Tienes hermanos?""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de los centros públicos y privados participantes en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:45:40,"""¿Cuántos hermanos tienes?""","""¿Tienes hermanos?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,18,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:45:43,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:46:17,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""","""¿Tienes hermanos?""",La nota media de los centros públicos y privados participantes en el estudio,15,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:46:49,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:46:53,"""¿Cuántos hermanos tienes?""","""¿Tienes hermanos?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""",La nota media de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:47:26,"""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuántos hermanos tienes?""","""¿Tienes hermanos?""",La nota media de matemáticas de cada centro participante en el estudio,12,Comparar el número de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:47:59,"""¿Cuál es tu altura (en centímetros)?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Tienes hermanos?""",La nota media de cada centro participante en el estudio,12,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
24/10/2024 12:48:07,"""¿Cuántos hermanos tienes?""","""¿Cuál es tu altura (en centímetros)?""","""¿Cuántos hermanos tienes?""",La nota media de matemáticas de cada estudiante de cada centro participante en el estudio,15,Comparar el número medio de alcohólicos en Palma y en Barcelona,Un gráfico circular
24/10/2024 12:48:28,"""¿Cuántos hermanos tienes?""","""¿Cuál de las siguientes opciones corresponde al número de hermanos que tienes? Entre 0 y 1 hermanos, Entre 2 y 3 hermanos, 4 hermanos o más""","""¿Cuál es tu altura (en centímetros)?""",La nota media de cada centro participante en el estudio,15,Comparar el porcentaje de alcohólicos en Palma y en Barcelona,Un diagrama de barras
